,Datetime,Title,Brief,label,score
37,PHÂN TÍCH KỸ THUẬT 04/06 13:03,Phân tích kỹ thuật phiên chiều 04/06: Trạng thái phân hóa kéo dài,VN-Index và HNX-Index tăng giảm trái chiều kèm theo khối lượng có sụt giảm trong phiên sáng cho thấy tâm lý khá thận trọng của nhà đầu tư đang hiện...,Neutral,0.3532784581184387
38,NHẬN ĐỊNH - PHÂN TÍCH 04/06 10:34,Phong vũ biểu thị trường Tháng 6/2025: Công thủ toàn diện,"Việc VN-Index thành công lấy lại mốc 1,300 điểm trong tháng 5 đã tạo ra một cú hích đáng kể cho thị trường chứng khoán. Nhiều kỳ vọng đang được đặt...",Very Positive,0.25849848985671997
39,PHÂN TÍCH KỸ THUẬT 03/06 13:10,Phân tích kỹ thuật phiên chiều 03/06: Tín hiệu trái chiều vẫn hiện hữu,VN-Index và HNX-Index đồng loạt tăng điểm trong phiên sáng cùng khối lượng có sự gia tăng trong phiên sáng phản ánh tâm lý nhà đầu tư khá lạc quan.,Neutral,0.4637593924999237
40,PHÂN TÍCH KỸ THUẬT 03/06 10:00,Ngày 03/06/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: ACV, CTG, DGW, HVN, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.598482608795166
41,PHÂN TÍCH KỸ THUẬT 02/06 13:08,Phân tích kỹ thuật phiên chiều 02/06: Tâm lý phân vân bao trùm thị trường,VN-Index và HNX-Index tăng giảm trái chiều trong phiên sáng cùng các tín hiệu kỹ thuật tốt xấu đan xen cho thấy diễn biến giằng co cùng tâm lý thiếu...,Neutral,0.32581984996795654
42,PHÂN TÍCH KỸ THUẬT 02/06 10:00,Tuần 02-06/06/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: BCM, CTG, DGW, HVN, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.4771110713481903
43,PHÂN TÍCH KỸ THUẬT 01/06 07:30,Phân tích kỹ thuật chứng khoán Việt Nam: Tuần 02-06/06/2025,Chiến lược đầu tư & Phân tích kỹ thuật chuyên sâu thị trường chứng khoán Việt Nam.,Neutral,0.45456796884536743
44,PHÂN TÍCH KỸ THUẬT 30/05 13:06,Phân tích kỹ thuật phiên chiều 30/05: Triển vọng ngắn hạn dần kém sắc,VN-Index và HNX-Index đồng loạt giảm điểm cùng các tín hiệu kỹ thuật khá tiêu cực cho thấy rủi ro điều chỉnh giảm đang tăng cao.,Negative,0.39873093366622925
45,PHÂN TÍCH KỸ THUẬT 29/05 13:13,Phân tích kỹ thuật phiên chiều 29/05: Rủi ro ngắn hạn dần xuất hiện,VN-Index và HNX-Index tăng giảm trái chiều trong khi chỉ báo Stochastic Oscillator đang hình thành phân kỳ giá xuống (Bearish Divergence) trong vùng...,Negative,0.32503968477249146
46,PHÂN TÍCH KỸ THUẬT 29/05 11:18,Ngày 29/05/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: BCM, CTG, GMD, HVN, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.5998813509941101
47,PHÂN TÍCH KỸ THUẬT 28/05 13:07,Phân tích kỹ thuật phiên chiều 28/05: Xuất hiện các tín hiệu tích cực,VN-Index và HNX-Index đồng loạt tăng điểm trong bối cảnh chỉ báo MACD tiếp tục hướng đi lên sau khi cho tín hiệu mua càng củng cố thêm cho đà phục...,Neutral,0.25217458605766296
48,PHÂN TÍCH KỸ THUẬT 27/05 13:44,Phân tích kỹ thuật phiên chiều 27/05: Xuất hiện các tín hiệu trái chiều,VN-Index và HNX-Index đồng loạt tăng điểm cùng những tín hiệu kỹ thuật trái chiều trong phiên sáng cho thấy tâm lý nhà đầu tư đang khá phân vân.,Very Negative,0.40018364787101746
49,PHÂN TÍCH KỸ THUẬT 26/05 13:10,Phân tích kỹ thuật phiên chiều 26/05: Tâm lý phân vân đang hiện hữu,VN-Index và HNX-Index diễn biến giằng co cùng với thanh khoản có sự gia tăng đáng kể trong phiên sáng cho thấy tâm lý nhà đầu tư đang khá phân vân.,Neutral,0.38010305166244507
50,PHÂN TÍCH KỸ THUẬT 26/05 10:00,Tuần 26-30/05/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: BCM, CTG, GMD, HVN, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.4078384339809418
51,PHÂN TÍCH KỸ THUẬT 25/05 07:30,Phân tích kỹ thuật chứng khoán Việt Nam: Tuần 26-30/05/2025,Chiến lược đầu tư & Phân tích kỹ thuật chuyên sâu thị trường chứng khoán Việt Nam.,Neutral,0.48246249556541443
52,PHÂN TÍCH KỸ THUẬT 23/05 13:06,Phân tích kỹ thuật phiên chiều 21/05: Tâm lý thận trọng đang bao trùm thị trường,VN-Index và HNX-Index tăng giảm trái chiều cùng với thanh khoản có sự sụt giảm đáng kể trong phiên sáng cho thấy nhà đầu tư đang khá thận trọng trong...,Neutral,0.27238693833351135
53,PHÂN TÍCH KỸ THUẬT 22/05 13:07,Phân tích kỹ thuật phiên chiều 22/05: Tiếp tục giằng co trong ngắn hạn,VN-Index và HNX-Index tăng giảm trái chiều trong bối cảnh chỉ báo ADX có dấu hiệu suy yếu cho thấy diễn biến đi ngang với các phiên tăng giảm đan xen...,Neutral,0.40127184987068176
54,PHÂN TÍCH KỸ THUẬT 22/05 10:00,Ngày 22/05/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: BCM, CTG, GMD, HVN, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.5877968072891235
55,PHÂN TÍCH KỸ THUẬT 21/05 13:04,Phân tích kỹ thuật phiên chiều 21/05: Tiếp diễn trạng thái phân hóa,VN-Index và HNX-Index tăng giảm trái chiều trong bối cảnh chỉ báo ADX có dấu hiệu suy yếu cho thấy diễn biến đi ngang với các phiên tăng giảm đan xen...,Very Negative,0.31331905722618103
56,PHÂN TÍCH KỸ THUẬT 20/05 13:10,Phân tích kỹ thuật phiên chiều 20/05: Tâm lý phân vân đang hiện hữu,VN-Index và HNX-Index đồng loạt tăng điểm trong bối cảnh chỉ báo ADX có dấu hiệu suy yếu cho thấy diễn biến đi ngang với các phiên tăng giảm đan xen...,Neutral,0.3782126009464264
57,PHÂN TÍCH KỸ THUẬT 20/05 10:00,Ngày 20/05/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: BCM, CTG, GEX, MBB, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.5592682957649231
58,PHÂN TÍCH KỸ THUẬT 19/05 13:10,Phân tích kỹ thuật phiên chiều 19/05: Xuất hiện trạng thái giằng co,VN-Index và HNX-Index tăng giảm trái chiều trong bối cảnh chỉ báo ADX có dấu hiệu suy yếu cho thấy diễn biến đi ngang với các phiên tăng giảm đan xen...,Very Negative,0.3168487846851349
59,PHÂN TÍCH KỸ THUẬT 18/05 10:00,Tuần 19-23/05/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: BCM, CTG, GEX, MBB, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.3738429546356201
60,PHÂN TÍCH KỸ THUẬT 18/05 07:30,Phân tích kỹ thuật chứng khoán Việt Nam: Tuần 19-23/05/2025,Chiến lược đầu tư & Phân tích kỹ thuật chuyên sâu thị trường chứng khoán Việt Nam.,Neutral,0.5191799998283386
61,PHÂN TÍCH KỸ THUẬT 16/05 13:06,Phân tích kỹ thuật phiên chiều 16/05: Trạng thái phân hóa đang diễn ra mạnh mẽ,VN-Index và HNX-Index tăng giảm trái chiều cùng với thanh khoản có sụt giảm đáng kể trong phiên sáng cho thấy nhà đầu tư đang khá cẩn trọng trong...,Neutral,0.2719603478908539
62,PHÂN TÍCH KỸ THUẬT 15/05 13:05,Phân tích kỹ thuật phiên chiều 15/05: Áp lực cung hàng dần xuất hiện,VN-Index và HNX-Index đồng loạt giảm điểm cùng với thanh khoản chưa có sự cải thiện rõ ràng trong phiên sáng cho thấy tâm lý phân vân đang hiện hữu.,Neutral,0.2495841383934021
63,PHÂN TÍCH KỸ THUẬT 15/05 10:00,Ngày 15/05/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: BMP, DPM, GEX, MBB, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.5523779392242432
64,PHÂN TÍCH KỸ THUẬT 14/05 13:09,Phân tích kỹ thuật phiên chiều 14/05: Hiện tượng phân hóa xuất hiện,VN-Index và HNX-Index tăng giảm trái chiều trong bối cảnh chỉ báo MACD duy trì tín hiệu mua trước đó cho thấy triển vọng ngắn hạn đang được cải thiện.,Neutral,0.3025243580341339
65,PHÂN TÍCH KỸ THUẬT 13/05 13:09,Phân tích kỹ thuật phiên chiều 13/05: Sắc xanh đang lan tỏa,VN-Index và HNX-Index đồng loạt tăng điểm cùng với thanh khoản có sự gia tăng đáng kể trong phiên sáng cho thấy tâm lý nhà đầu tư tiếp tục được cải...,Very Negative,0.24124972522258759
66,PHÂN TÍCH KỸ THUẬT 13/05 10:00,Ngày 13/05/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: BMP, DPM, GEX, MBB, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.5527498722076416
67,PHÂN TÍCH KỸ THUẬT 12/05 13:02,Phân tích kỹ thuật phiên chiều 12/05: Thị trường diễn biến giằng co,VN-Index và HNX-Index đồng loạt tăng điểm trong bối cảnh cả hai chỉ báo MACD và Stochastic Oscillator đều duy trì tín hiệu mua trước đó cho thấy...,Neutral,0.3771308362483978
68,PHÂN TÍCH KỸ THUẬT 12/05 10:42,Báo cáo Tiền ảo tháng 5/2025 (Kỳ 1): Tiếp tục giằng co trong ngắn hạn,Phân tích và nhận định xu hướng của các đồng tiền ảo quan trọng được nhiều nhà đầu tư quan tâm. Các phân tích dưới đây có thể phục vụ cho mục đích...,Neutral,0.3442525863647461
69,PHÂN TÍCH KỸ THUẬT 12/05 10:00,Tuần 12-16/05/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: BMP, DPM, GEX, MBB, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.39971500635147095
70,PHÂN TÍCH KỸ THUẬT 11/05 07:30,Phân tích kỹ thuật chứng khoán Việt Nam: Tuần 12-16/05/2025,Chiến lược đầu tư & Phân tích kỹ thuật chuyên sâu thị trường chứng khoán Việt Nam.,Neutral,0.48383352160453796
71,PHÂN TÍCH KỸ THUẬT 09/05 13:07,Phân tích kỹ thuật phiên chiều 09/05: Tâm lý thận trọng đang chi phối thị trường,VN-Index và HNX-Index đồng loạt giảm điểm cùng với thanh khoản chưa có sự cải thiện rõ ràng trong phiên sáng cho thấy nhà đầu tư đang khá thận trọng...,Neutral,0.3896368443965912
72,PHÂN TÍCH KỸ THUẬT 08/05 13:02,Phân tích kỹ thuật phiên chiều 08/05: Tiếp diễn trạng thái phân hóa,VN-Index và HNX-Index đồng loạt tăng điểm cùng với khối lượng giao dịch chưa có sự cải thiện rõ ràng trong phiên sáng cho thấy tâm lý phân vân của...,Neutral,0.3549404442310333
73,PHÂN TÍCH KỸ THUẬT 08/05 10:00,Ngày 08/05/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: ACB, DPM, GEX, MBB, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.5692667365074158
74,PHÂN TÍCH KỸ THUẬT 07/05 13:03,Phân tích kỹ thuật phiên chiều 07/05: Hiện tượng phân hóa đang diễn ra,VN-Index và HNX-Index tăng giảm trái chiều cùng với thanh khoản có sự sụt giảm đáng kể trong phiên sáng cho thấy tâm lý nhà đầu tư đang khá phân vân.,Neutral,0.4321981370449066
75,NHẬN ĐỊNH - PHÂN TÍCH 07/05 13:02,Phong vũ biểu thị trường Tháng 5/2025: Đãi cát tìm vàng!,"Sau “cú sập” thị trường vào đầu tháng 3/2025, thị trường chứng khoán Việt Nam đang trong quá trình phục hồi. Trong đó, nhóm ngành năng lượng và công...",Very Negative,0.434594988822937
76,PHÂN TÍCH KỸ THUẬT 06/05 13:01,Phân tích kỹ thuật phiên chiều 06/05: Thanh khoản có sự cải thiện,VN-Index và HNX-Index đồng loạt tăng điểm cùng với khối lượng giao dịch có sự gia tăng đáng kể trong phiên sáng cho thấy tâm lý lạc quan của các nhà...,Neutral,0.3907740116119385
77,PHÂN TÍCH KỸ THUẬT 06/05 10:00,Ngày 06/05/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: ACB, DPM, GEX, MBB, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.5690720677375793
78,PHÂN TÍCH KỸ THUẬT 05/05 13:03,Phân tích kỹ thuật phiên chiều 05/05: Tiếp tục giằng co trong ngắn hạn,VN-Index và HNX-Index tăng giảm trái chiều trong bối cảnh chỉ báo MACD duy trì tín hiệu mua trước đó cho thấy triển vọng ngắn hạn đã bớt bi quan.,Neutral,0.39476102590560913
79,PHÂN TÍCH KỸ THUẬT 05/05 10:00,Tuần 05-09/05/2025: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock,"Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: ACB, DPM, GEX, MBB, STB, SHB, TCB, VPB, VNM, VIC.",Very Negative,0.40631377696990967
80,PHÂN TÍCH KỸ THUẬT 04/05 07:30,Phân tích kỹ thuật chứng khoán Việt Nam: Tuần 05-09/05/2025,Chiến lược đầu tư & Phân tích kỹ thuật chuyên sâu thị trường chứng khoán Việt Nam.,Neutral,0.4507272243499756
81,NHẬN ĐỊNH - PHÂN TÍCH 30/04 14:02,10 Khẩu quyết phân tích kỹ thuật (Kỳ cuối): Stochastic Oscillator - Bí kíp “cưỡi” sóng thành công,"Thị trường chứng khoán Việt Nam luôn ẩn chứa những cơ hội sinh lời hấp dẫn, nhưng đồng thời cũng đầy rẫy những biến động khó lường. Để ""cưỡi sóng""...",Very Negative,0.6279492974281311
82,PHÂN TÍCH KỸ THUẬT 29/04 13:12,Phân tích kỹ thuật phiên chiều 29/04: Tín hiệu trái chiều xuất hiện,VN-Index và HNX-Index diễn biến trái chiều kèm theo thanh khoản tiếp tục suy giảm trong phiên sáng cho thấy tâm lý phân vân của nhà đầu tư đang hiện...,Very Negative,0.3736012279987335
